id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16732418,28m²Value for money Flat in Athens,96543051,Stella Homm,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98414023553636,23.72412994378181,Entire home/apt,28,5,9,2017-05-02,2.93,1,325
16568683,Sweet city house next to Archaeological Museum,109146943,Nancy,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.987638060587834,23.727124261274362,Entire home/apt,32,2,2,2017-05-01,2,1,333
5772214,Greece Studio,29945621,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98334581570038,23.725549178077447,Entire home/apt,30,3,0,,,3,180
17749066,Holidays close to the Acropolis.,92310506,Sokol,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98212447625875,23.720399942443542,Entire home/apt,30,1,4,2017-04-29,4,2,328
13816975,Au coeur d'Athenes,81379658,Guido,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99154986298796,23.729685966446265,Private room,20,1,13,2017-04-21,1.40,1,31
17290627,Clean and comfortable room for four,108469918,龙斌,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9854342437255,23.723599909681724,Entire home/apt,78,1,0,,,1,365
12080583,Ideal 1-Bdrm Apt-Center of Athens,748818,George,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.9915691081896,23.726141179471924,Entire home/apt,40,2,0,,,47,365
17389288,The Viktoria Inn room 6,117559667,Patrick,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99051823309791,23.72796872023632,Private room,25,1,2,2017-03-06,0.91,4,365
14047138,Double bedroom in the centre of Ath,84145657,Filippos,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.982737032892594,23.71761512879032,Private room,25,2,2,2017-01-10,0.48,2,154
7559058,"Awarded Luxury Loft, Athens Center",14184069,Manolis,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98233107348085,23.719912986865765,Entire home/apt,90,1,99,2017-04-23,4.61,1,301
16472047,New fully renovated central apartment!,72877670,Vasiliki,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.99010721817983,23.72417476807757,Entire home/apt,55,1,4,2017-03-01,0.90,2,0
